Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
China,GDP (current US$),1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11199145157649.2,0
Colombia,GDP (current US$),94684584162.773,117074863821.85,146566266310.568,162590145579.958,207416490982.99,243982436734.233,233821670220.294,287018179193.923,335415162155.574,369659697842.885,380191876348.93,378195707612.393,291519596338.693,282462551366.878,0
Comoros,GDP (current US$),317562269.371106,368143118.68996,380372892.606774,406111873.539847,462453582.873627,523134896.968654,524157261.014644,530493353.218937,586281766.75997,570865941.229395,618663921.86116,647720707.076427,565689764.63263,616654490.413179,0
"Congo, Dem. Rep.",GDP (current US$),8937567059.87754,10297483481.223,11964484667.9102,14296507096.4135,16364029327.3457,19206060270.2521,0,20523285374.187,23849009737.6669,27463220380.0054,30014813755.772,34028119332.6087,36188521106.9294,31930856401.9163,0
"Congo, Rep.",GDP (current US$),3495868808.0512,4648628921.36969,6087003176.11624,7731261310.93322,8394688284.06224,11859013280.9951,9593537550.75063,12007880438.6232,14425607179.6639,13677930123.5919,14085851348.069,14177437982.2619,8553154580.39951,7833508878.9666,0
Costa Rica,GDP (current US$),17195867540.353,18529767934.4743,19952156474.8454,22600431878.0024,26743874286.8514,30612932802.8991,30562361123.0307,37268635287.0856,42262697840.385,46473128285.5589,49745088111.6953,50656002895.8763,54840103850.265,57435507212.256,0
Cote d'Ivoire,GDP (current US$),15306602560.2533,16554441846.5192,17084928927.4555,17800887796.4987,20343635319.6174,24224903099.6283,24277493862.0625,24884505034.5564,25381616734.0693,27040562587.1771,31273049200.243,35372603446.2605,33145096414.0731,36372613022.942,0
Croatia,GDP (current US$),34658113497.39,41574530815.5047,45416358501.9835,50453577898.4886,60093155532.7678,70481451814.3118,62703095750.5257,59665427464.5326,62236751773.0497,56485301967.4205,57769872074.883,57080369367.8021,48921877447.764,50714957390.5378,0
Cuba,GDP (current US$),35901200000,38203000000,42643836074.8,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656100000,87132800000,0,0
Curacao,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,GDP (current US$),14576896942.2424,17422375000,18703146374.829,20403713461.2972,24077470572.1325,27839460963.8201,25942622950.8197,25562251655.6291,27427161523.4918,25041372221.5084,24084572490.7063,23359294148.8656,19676167239.6584,20047013274.3363,0
Czech Republic,GDP (current US$),99627140274.3805,119162172468.268,136280689891.224,155463807112.889,189227050759.595,235718586901.129,206179982164.402,207477857918.919,227948349666.354,207376427020.815,209402444996.104,207818330723.835,186829940545.759,195305084919.138,0
Denmark,GDP (current US$),218095997085.477,251373036671.062,264467308109.19,282884912894.33,319423370134.284,353361056079.716,321241396034.248,321995350346.501,344003209695.606,327148899962.146,343584385594.132,352993633221.281,301298464861.385,306899653409.601,0
Djibouti,GDP (current US$),622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,1455000000,1588000000,1727000000,0,0
Dominica,GDP (current US$),350091222.222222,374771481.481481,370370370.37037,390370370.37037,421375851.851852,458190185.185185,489074333.333333,493824407.407407,501025303.333333,485997988.148148,501979277.037037,523666347.407407,535095846.296296,581484031.851852,0
Dominican Republic,GDP (current US$),21277165885.6865,22039232609.9553,34004033803.9438,35952845582.5029,44169678153.1566,48288967303.4896,48376555305.6902,53954579003.5277,57746684847.0898,60613645121.3529,61965942056.6828,65231032303.2418,68102618092.1031,71583553487.5646,0
Early-demographic dividend,GDP (current US$),3516151323703.34,4090111659563.41,4767620344026.82,5462304388463.2,6488823566895.55,7317501470600.68,7045911611995.23,8514322770067.29,9564928622914.71,9974410005994.34,10160722334942.3,10529872000158.3,10194970465551.6,10401989026722.8,0
East Asia & Pacific,GDP (current US$),8617381783014.6,9663708744825.51,10311337123730.3,10939731186788.5,12236995324293.9,14134059989615.9,14564521831208.3,16938756587419.1,19638672525945,21019132105911.6,21262544412410.1,21900031790821.4,21766948388560.2,22480427869996.2,0
East Asia & Pacific (excluding high income),GDP (current US$),2327842621991.4,2698133042142.66,3124263676684.17,3763693516582.98,4758413352216.66,6020919293827.75,6531548165985.69,7879326684925.74,9630698001400.21,10744168691109.2,11860783587103,12754057710794.4,13268242311555,13512435638588.8,0
East Asia & Pacific (IDA & IBRD countries),GDP (current US$),2323064152053.05,2692683574401.69,3118033979234.63,3756261361900.34,4749074666841.02,6009148096611.83,6518684908087.94,7864008890290.72,9612081466761.09,10723388033068.1,11837903738760.8,12729502234335.3,13242748068603.7,13486492444155.4,0
Ecuador,GDP (current US$),32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,98613972000,0
"Egypt, Arab Rep.",GDP (current US$),82924503942.6381,78845185293.4964,89685725230.2517,107484034870.974,130478960092.499,162818181818.182,188982374700.805,218888324504.753,236001858960.015,279372758361.832,288586231501.877,305529656458.438,332698041030.807,332791045963.807,0
El Salvador,GDP (current US$),15046700000,15798300000,17093800000,18550700000,20104900000,21430950000,20661030000,21418330000,23139040000,23813600000,24350930000,25054230000,26052340000,26797470000,0
Equatorial Guinea,GDP (current US$),2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16298542027.9965,21329395900.871,22389627294.4179,21942597765.3631,21736500712.9638,12597210657.5048,10684804794.0361,0
Eritrea,GDP (current US$),870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,2117039512.19512,2607739837.39837,0,0,0,0,0,0
Estonia,GDP (current US$),9833870709.12376,12059201242.236,14006088297.4754,16963625015.6818,22237061730.0849,24194039255.8957,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26224622450.8302,22566956982.229,23337907618.5174,0
Ethiopia,GDP (current US$),8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,72374224249.3997,0
Euro area,GDP (current US$),8851572342338.51,10152860200757,10536619657651.6,11186013472971.5,12879504293545.5,14118176482709.8,12908601410684.9,12645252803081.6,13623289150489.6,12639517177808.2,13190839006664,13476466492426.9,11661892507639.7,11934055071906,0
